Classe,Caractéristique Couleur,Caractéristique LPB,Caractéristique Fréquentielle
0,2.0,"[0.02413236 0.04030198 0.02713717 0.05928861 0.08417218 0.10514949
 0.039532   0.04619892 0.51222581 0.06186148 0.0316256  0.03523137
 0.02516526 0.05686599 0.09051983 0.126878   0.03665865 0.04657452
 0.47475962 0.07572115 0.02944712 0.03966346 0.0234375  0.06340144
 0.08894231 0.18449519 0.04206731 0.0531851  0.40564904 0.06971154]","[7.46911274e-04 6.39291139e-08 8.47437187e-11 1.28697626e-11
 4.24591368e-22 3.25369187e-15 1.90875067e-23]"
0,176.0,"[0.01894907 0.03945688 0.02653621 0.07564603 0.12372296 0.15117939
 0.05151367 0.05502554 0.39389273 0.06407752 0.03583233 0.04124099
 0.02967248 0.0691857  0.12229567 0.16646635 0.04897837 0.05926983
 0.34495192 0.08210637 0.03846154 0.03695913 0.0249399  0.08713942
 0.13611779 0.22145433 0.04627404 0.0609976  0.26953125 0.078125  ]","[ 6.47096961e-04  3.12654335e-09  2.46225117e-12  1.79341716e-13
 -1.13033572e-25 -9.95517601e-18 -3.77662335e-26]"
0,13.0,"[0.02574745 0.03983248 0.03048002 0.06199294 0.10432317 0.13018329
 0.04552284 0.04691256 0.4525616  0.06244366 0.03545673 0.04274339
 0.02764423 0.05649038 0.10659555 0.14370493 0.03658353 0.05521334
 0.41376202 0.08180589 0.03605769 0.0405649  0.02884615 0.07061298
 0.11598558 0.19080529 0.03635817 0.06971154 0.32722356 0.08383413]","[ 7.00009846e-04  7.18278933e-09  2.80903965e-12  2.59184437e-12
 -6.22368447e-24  2.11627787e-16  3.18971529e-24]"
0,40.0,"[0.01091121 0.02492112 0.01799129 0.05624624 0.09790039 0.12169471
 0.04142879 0.03419847 0.55682843 0.03787936 0.02133413 0.02884615
 0.02148438 0.05040565 0.09112079 0.13506611 0.03673377 0.03973858
 0.52208534 0.0531851  0.01923077 0.02403846 0.02103365 0.06009615
 0.10606971 0.20643029 0.03996394 0.04717548 0.43689904 0.0390625 ]","[ 6.71497526e-04  7.45507496e-09  6.68512846e-12  1.22456228e-12
 -3.46428500e-24 -8.24853172e-17 -5.24025287e-25]"
0,33.0,"[0.01083609 0.03032978 0.01387846 0.06450947 0.09568434 0.17097356
 0.04879056 0.04922251 0.47126653 0.04450871 0.01930589 0.03177584
 0.02140925 0.06986178 0.1101262  0.18404447 0.05371094 0.04492188
 0.40880409 0.05603966 0.02133413 0.02584135 0.02524038 0.08203125
 0.14603365 0.20793269 0.0453726  0.04567308 0.34585337 0.0546875 ]","[ 6.90075518e-04  8.54699147e-09  2.40141393e-11  6.13907547e-12
  4.29074536e-23  5.16456017e-16 -6.09518314e-23]"
0,41.0,"[0.01457332 0.03387921 0.02167218 0.06439678 0.11442683 0.11900916
 0.04409555 0.04219877 0.49410306 0.05164513 0.02982272 0.03635817
 0.02862079 0.05671575 0.09645433 0.12958233 0.0405649  0.05018029
 0.46191406 0.06978666 0.03515625 0.03335337 0.02373798 0.06069712
 0.10246394 0.17788462 0.03695913 0.05528846 0.3999399  0.07451923]","[6.51937375e-04 6.17878064e-09 1.51882895e-11 5.76211230e-13
 1.69145025e-24 4.34056533e-17 2.11465804e-25]"
0,37.0,"[0.00411283 0.01190655 0.00756836 0.030311   0.06236854 0.09348708
 0.02067683 0.01962515 0.73095703 0.01898663 0.00871394 0.00999099
 0.00976562 0.03440505 0.06911058 0.11237981 0.02020733 0.02163462
 0.69140625 0.02238582 0.0063101  0.01081731 0.00510817 0.04597356
 0.07752404 0.17848558 0.02163462 0.02313702 0.61838942 0.01262019]","[ 6.55594064e-04  5.28335581e-09  1.99754417e-11  3.18123171e-13
 -7.91350755e-25 -2.20179811e-17 -1.29883005e-25]"
0,36.0,"[0.01200045 0.03592623 0.01861103 0.07786208 0.12515024 0.1729079
 0.06330754 0.05720403 0.38100962 0.05602088 0.02749399 0.04732572
 0.03282752 0.07654748 0.11298077 0.15594952 0.05746695 0.06009615
 0.33991887 0.08939303 0.03064904 0.04326923 0.03725962 0.08503606
 0.12409856 0.20252404 0.05498798 0.0688101  0.2734375  0.07992788]","[ 6.24535264e-04  3.13174180e-10  9.02552113e-14  3.07032880e-17
 -4.84591064e-32 -5.22301972e-22 -1.62492596e-32]"
0,43.0,"[0.01004733 0.01979417 0.01530574 0.04599234 0.09050105 0.10892428
 0.02880859 0.02627329 0.62319712 0.0311561  0.01397236 0.01893029
 0.01720252 0.04514724 0.09698017 0.12627704 0.03064904 0.02801983
 0.58037861 0.04244291 0.01141827 0.01862981 0.01292067 0.05378606
 0.11117788 0.1968149  0.02584135 0.03305288 0.51262019 0.02373798]","[ 7.11494017e-04  3.11124234e-08  3.10344772e-11  5.45279867e-12
  6.24398031e-23  9.23342236e-16 -3.36575833e-23]"
0,38.0,"[0.01686448 0.04244291 0.02616061 0.09294246 0.1799692  0.20774489
 0.06753305 0.05834961 0.2408729  0.06711989 0.03996394 0.05851863
 0.03553185 0.0851863  0.15647536 0.16939603 0.06490385 0.07376803
 0.2035006  0.11275541 0.04867788 0.05588942 0.04236779 0.08563702
 0.15955529 0.17758413 0.06911058 0.08383413 0.14633413 0.13100962]","[ 7.02854336e-04  2.67367264e-08  1.72507225e-11  4.56713035e-12
  4.05314550e-23  7.22566721e-16 -7.61122681e-25]"
